<#f0f000>THROWS</>

Yoko Nage						[_B/_F]_+^HP
Koube Kudaki					[_B/_F]_+^HK

<#f0f000>SPECIAL MOVES (Use 2 Attack Buttons for EX)</>

Senpuu Retsu Zan_EX 			_D_DF_F^P
Kogetsu Zan_EX					_F_DF_D_DF^P
Resshin Zan_EX					_D_DB_B^P
Senpuu Retsu Zan Feint_EX 		_D_DF_F^K

<#f0f000>SUPER ARTS (Use 2 Attack Buttons for MAX)</>

Tenha Fuujin Zan_MAX			_D_DF_F_D_DF_F^P
Tenha Dankuu Retsu Zan_MAX		_D_DB_B_D_DB_B^P

<#f0f000>LEVEL 3 SUPER ARTS</>

Tenha Seiou Zan					_F_DF_D_DB_B_F^2P

<#f0f000>SYSTEM</>

Run								_F_F
Back Dash						_B_B
High Jump						_TAP_D,_U
Parry							_TAP_F / _TAP_D
Roll							[_B/_F]_+^A_+^X
Dodge							^A_+^X
_!Dodge Attack					^P/^K
Power Charge					^B_+^Y
Guard Cancel High				(during guard) _F_+^2P
Guard Cancel Low				(during guard) _F_+^2K
Fall Recovery					(when allowed)^P
Roll Recovery					(while falling from a hit)^K
Taunt							^S
